Nombre y Apellido,Educación,Tipo de cuenta bancaria,Situación Laboral,Inicio de cuenta,Cantidad ahorrado,Créditos
Roberto Maldonado,Universitario,Ahorro,Independiente,2020-08-22,11334733.527161844,3
Caridad Nogués Guzmán,Universitario,Vista,Independiente,2021-11-19,9881109.471675538,4
Victor Salmerón-Elías,Universitario,Corriente,Cesante,2020-10-23,8418922.054640817,1
Nuria Cal-Villa,Incompleto,Corriente,Cesante,2020-05-27,3087890.069859847,3
Albino de Cal,Universitario,Ahorro,Cesante,2020-02-22,14452799.034528255,1
Bruno Manzano,Incompleto,Vista,Cesante,2024-11-21,2133120.2862708955,3
María Pilar Cadenas Cano,Universitario,Vista,Cesante,2023-04-07,10136485.900268227,1
Josué Guerrero Gibert,Medio,Corriente,Independiente,2021-02-23,7928592.745221852,3
Andrea del Almagro,Medio,Vista,Cesante,2020-07-04,12380051.447871745,1
Yago Buendía Chamorro,Universitario,Ahorro,Dependiente,2022-06-18,3287663.108421212,3
Purificación del Olmedo,Universitario,Vista,Cesante,2024-07-28,10007504.775888944,3
Florina Morcillo,Incompleto,Corriente,Cesante,2024-01-30,10498385.789174207,3
Vasco Mur-Hoz,Incompleto,Vista,Cesante,2020-10-16,11655224.859860647,3
Ignacio Mate Vigil,Medio,Corriente,Cesante,2022-04-02,14449603.593719654,4
Juan Luis Alberto Tirado,Medio,Ahorro,Cesante,2023-06-07,8562795.5676949,2
Ariadna Marqués,Incompleto,Ahorro,Cesante,2021-05-12,13162404.89806501,2
Anastasio Fabregat Aparicio,Medio,Vista,Cesante,2022-02-03,10964074.199534778,4
Flavia García Baños,Incompleto,Vista,Cesante,2021-03-14,5608538.11407079,4
Emilio Canales Serra,Medio,Ahorro,Dependiente,2020-07-06,3173549.8956405777,3
Julia Uriarte Gual,Universitario,Vista,Cesante,2024-01-12,2853177.87327439,1
Begoña Gallego,Medio,Ahorro,Dependiente,2021-04-09,5480191.704697945,3
Juan Francisco Alcolea Cardona,Medio,Corriente,Cesante,2022-08-31,9086279.13236171,3
Viviana Tena Chaparro,Incompleto,Vista,Dependiente,2020-06-17,1650997.731030001,3
Raimundo Landa Rosa,Universitario,Ahorro,Cesante,2023-12-03,9448905.07882832,3
Calixto Borrell-Mur,Medio,Vista,Independiente,2020-05-05,420778.6570727834,3
Nando José Ángel Feijoo Izquierdo,Universitario,Vista,Dependiente,2023-02-07,14430731.01516594,4
Sosimo Olmedo Rivero,Universitario,Corriente,Independiente,2022-06-20,9331593.183048123,1
Jovita Guijarro Manzano,Medio,Ahorro,Independiente,2022-02-15,11824974.806176316,1
Efraín Vigil-Sarmiento,Incompleto,Ahorro,Dependiente,2023-06-04,14325828.960132685,1
Anabel Manso Manso,Medio,Ahorro,Independiente,2022-03-13,9520957.160228614,3
Clarisa María Torrecilla Riera,Medio,Corriente,Cesante,2024-05-19,11268474.506007051,1
Odalys Beltran Tejera,Medio,Vista,Cesante,2022-12-08,7745197.815345334,4
Cándido Vigil Quintanilla,Incompleto,Corriente,Independiente,2024-06-30,11239703.036490738,4
Raquel Bernat,Incompleto,Vista,Independiente,2020-09-24,12642007.463407094,1
Celso de Escrivá,Universitario,Corriente,Dependiente,2024-11-11,3128089.105470556,4
Benjamín Tomé Reina,Universitario,Ahorro,Independiente,2024-04-19,10777189.11528706,1
Lina Losa Gómez,Medio,Corriente,Dependiente,2021-08-25,12730344.72021495,4
Ángela Correa,Medio,Ahorro,Independiente,2021-12-23,5324903.026084837,1
Vicenta Fuertes Gil,Medio,Corriente,Cesante,2020-09-16,4624803.847541782,4
Curro Castillo Tapia,Medio,Ahorro,Independiente,2020-09-22,735494.4738641949,2
Nando del Nadal,Universitario,Corriente,Independiente,2021-06-01,11055747.97077335,4
Hipólito Estrada-Bayón,Universitario,Vista,Dependiente,2024-10-30,9577130.132503761,1
Verónica Cisneros Hierro,Incompleto,Ahorro,Independiente,2021-05-31,12389544.118524916,3
Anabel Jacinta Bautista Roca,Incompleto,Corriente,Cesante,2021-05-19,156966.2032241148,1
Silvio Adán Figueroa Campo,Medio,Vista,Independiente,2020-05-11,10771920.359044192,3
Esmeralda Araujo Palomino,Incompleto,Ahorro,Dependiente,2020-04-17,3596405.56711718,4
Renata Valentín Castro,Universitario,Ahorro,Cesante,2022-06-06,14789822.541599693,2
Roxana Cortés Trillo,Medio,Corriente,Dependiente,2024-07-17,11306026.74011845,2
Bienvenida Español,Medio,Ahorro,Independiente,2024-02-07,6963513.317510477,1
Segismundo Domingo Saez Neira,Incompleto,Vista,Cesante,2022-01-16,9091599.09760218,2
Francisco Baró Zaragoza,Incompleto,Ahorro,Cesante,2020-06-28,6943923.054832114,2
Haroldo Lamas Barros,Universitario,Corriente,Independiente,2022-10-26,13763841.32056627,3
Jose Miguel Quero Gutiérrez,Incompleto,Ahorro,Cesante,2020-08-12,3945352.998451,3
Albino Alvarez Pozo,Incompleto,Vista,Independiente,2022-03-31,5605692.909709863,4
Itziar Cadenas,Medio,Vista,Independiente,2022-10-10,3494879.0836509564,2
Almudena Prats Fortuny,Medio,Ahorro,Dependiente,2020-04-09,7524215.330704784,2
Manuel Martín Baró,Incompleto,Ahorro,Cesante,2021-04-22,6476529.9474371625,3
María Jesús Tomé,Universitario,Vista,Independiente,2023-10-06,12337155.258314755,2
Apolonia Zaragoza Riera,Universitario,Corriente,Cesante,2023-02-24,229556.59592753087,4
José Ángel Coello Arjona,Medio,Vista,Cesante,2020-03-03,1090859.2217723827,3
Gustavo del Campillo,Incompleto,Ahorro,Dependiente,2024-02-13,6923225.410902029,2
Martin Rocha Nogués,Medio,Ahorro,Independiente,2020-09-19,3151357.4482425125,1
Encarnacion del Cardona,Incompleto,Corriente,Cesante,2024-03-14,8655955.900150651,3
Priscila Alsina Romeu,Incompleto,Vista,Independiente,2022-10-25,3793656.1232232978,3
Marianela Pinto Molina,Universitario,Ahorro,Independiente,2023-11-08,4694795.209584964,1
Ovidio Jaén,Medio,Ahorro,Cesante,2021-10-11,6142061.909442374,2
Adán Anguita Vera,Incompleto,Corriente,Cesante,2023-07-20,11841135.825283907,2
Olivia Pont-Fuentes,Incompleto,Vista,Cesante,2022-05-27,5365439.592834135,2
Leyre Monreal Moraleda,Medio,Vista,Cesante,2022-04-03,2788518.933780318,3
Natalio Santana,Incompleto,Vista,Cesante,2023-01-01,3295030.6812071432,2
Mercedes Pavón-Mayo,Universitario,Vista,Cesante,2023-11-06,5624251.414040761,2
Bernardita Coloma Rosell,Incompleto,Ahorro,Dependiente,2023-02-09,3013572.466277618,3
Abraham Ortuño,Medio,Corriente,Independiente,2020-11-13,13453775.173980447,3
Jordana Mosquera-Yáñez,Medio,Corriente,Dependiente,2020-11-14,779388.3074773516,1
Humberto Lamas Cortina,Medio,Ahorro,Dependiente,2023-12-12,13284033.42624599,1
Luís Hoyos Castillo,Universitario,Corriente,Cesante,2024-05-07,5202607.970959518,3
Esther Zapata Agudo,Medio,Vista,Dependiente,2023-05-10,4171360.9073345964,1
Elisabet Solís Gomis,Incompleto,Corriente,Independiente,2022-09-17,12211712.203066722,3
Raimundo Martínez-Sáez,Universitario,Corriente,Cesante,2023-08-04,9363008.278841186,3
María Belén Gomila-Benitez,Medio,Vista,Independiente,2024-02-16,3905055.5473052333,3
Consuelo Ana Belén Fajardo Godoy,Incompleto,Ahorro,Independiente,2023-10-24,8726717.076434635,2
Socorro Aliaga Sáenz,Medio,Ahorro,Independiente,2024-04-26,8015693.207039885,4
